tt,lat,lon,alt,roll,pitch,yaw,ins_tt,ins_lat,ins_lon,ins_alt,ins_roll,ins_pitch,ins_yaw,mag_1_c
33.0,39.19080754710664,-95.41592258011946,306.0,0.5520855433695949,-0.6432551495362913,-72.55448730138157,33.0,39.19082155526432,-95.41593668840117,301.40492349341196,0.5541602878910422,-0.6373323970918037,-72.54330233441446,184.36504203815423
34.0,39.19175373470085,-95.41274117381218,306.0,0.28884252214961265,-1.073535140609507,-72.21059966826418,34.0,39.19176745775922,-95.4127549345288,301.1759616196619,0.29089070908171666,-1.0676050234232408,-72.19939749657289,152.9442962680111
35.0,39.19270187683089,-95.40955933997971,306.0,0.2853891786485817,-1.1261502785295214,-72.26596281606,35.0,39.19271531466657,-95.40957274047119,300.94348821351895,0.2874560015177691,-1.1202442317237706,-72.25477767985512,119.514203234819
36.0,39.193651971517504,-95.40637706780804,306.0,0.474056093403326,-1.1843538486487013,-72.45196063445867,36.0,39.193665122791714,-95.40639009854962,300.70822995328,0.47611993184633755,-1.178452996461525,-72.4407675055088,78.30671373018112
37.0,39.194604016347704,-95.40319434590947,306.0,0.41254826203343914,-0.7302231403796808,-72.72671099321232,37.0,39.194616875076434,-95.40320699230264,300.4700165316763,0.41458213451304843,-0.7243033984032041,-72.71547583390362,35.85396454625603
38.0,39.19555800850292,-95.40001116238167,306.0,0.414456853301143,-0.573836517574199,-72.77701739468405,38.0,39.195570575434246,-95.40002341144931,300.22852221538795,0.41652350196132265,-0.567892629476355,-72.76573459885822,-7.848350210675222
39.0,39.19651394482682,-95.39682750480766,306.0,0.6337136420895025,-0.6734642495135834,-72.6518193802134,39.0,39.1965262135437,-95.39683934271164,299.9846574692894,0.635802340034989,-0.6675572883779934,-72.64048251785847,-44.033158677094534
40.0,39.19747182192469,-95.39364336020766,306.0,0.5109573170618383,-0.5647714347291012,-72.67072400025275,40.0,39.19748379012255,-95.39365477332517,299.7386201572735,0.5130499698868959,-0.5588264544689828,-72.65934758360365,-80.7355603455312
41.0,39.1984316362229,-95.3904587149841,306.0,0.7377095450283023,-0.6256729135322932,-72.60267616084228,41.0,39.19844330226481,-95.39046969108959,299.4906217801931,0.7398474654384453,-0.6197694171133267,-72.59129632700099,-117.9871626997352
42.0,39.19939338397942,-95.38727355488783,306.0,0.9485097161283804,-0.4208554517302855,-72.45740758346516,42.0,39.19940474266996,-95.38728408119243,299.24082182549205,0.9506417697287565,-0.41497300842725837,-72.44604196288783,-140.76582456919476
43.0,39.20035706131622,-95.3840878650663,306.0,1.178742034951393,-0.18641801990129064,-72.40409597639474,43.0,39.200368115666656,-95.38409793012322,298.98867336358967,1.1808697239707524,-0.18046719031831535,-72.3927177319162,-161.55365407655847
44.0,39.20132266426865,-95.38090163020489,306.0,0.9560549016451135,-0.056914457752276784,-72.43805942918134,44.0,39.2013334111044,-95.38091122045732,298.73543283807174,0.9581662228142073,-0.0509714426676519,-72.42666577512665,-182.30197710145316
45.0,39.20229018878548,-95.37771483467678,306.0,1.3562801360104282,0.1179319246568503,-72.35203193803665,45.0,39.202300626888984,-95.37772393163615,298.48105801939977,1.3583931591710645,0.12383577912217476,-72.34062646240523,-195.66324604705713
46.0,39.203259630699364,-95.3745274626236,306.0,1.466857302563909,-0.008995080065414492,-72.27506206801486,46.0,39.203269756959216,-95.37453605461029,298.2248093676947,1.4689751765409012,-0.0030616997706276743,-72.26359831409012,-205.92778274081087
47.0,39.2042309857354,-95.37133949794459,306.0,1.2581690757259412,0.15541168185175858,-72.50898750575578,47.0,39.20424079895577,-95.37134757697879,297.9665886661617,1.2602638295055908,0.16134491089415015,-72.49752007060586,-215.80993062763545
48.0,39.20520424955345,-95.3681509242118,306.0,1.0271190012991953,-0.07822193418062301,-72.47846709919774,48.0,39.20521374417533,-95.36815847817029,297.7092534481711,1.0292059932763182,-0.07226874133702817,-72.4670007153012,-221.18045696592276
49.0,39.20617941775936,-95.36496172454535,306.0,1.1359041971920072,-0.1050946307851054,-72.50615650382919,49.0,39.206188593315,-95.36496873865946,297.45106409054654,1.1379691255270412,-0.09914343311579837,-72.49467893591121,-223.34595748786973
50.0,39.207156485871984,-95.36177188149884,306.0,1.0389161691882662,-0.22945532832943255,-72.20268791987533,50.0,39.20716534226827,-95.36177834315916,297.19184164037927,1.0409741301267141,-0.22353350182451034,-72.19127407117227,-225.34191581168892
51.0,39.20813544929889,-95.3585813770183,306.0,1.0361832373227524,-0.324759014063789,-72.2077866562874,51.0,39.20814398161244,-95.35858727262512,296.930823607789,1.0382320186698433,-0.31878449546930726,-72.1963920595946,-225.06905922901865
52.0,39.20911630333579,-95.35539019248672,306.0,0.7772084109387387,-0.49067008397379974,-72.36828126661,52.0,39.20912450740788,-95.35539550714684,296.6685993236372,0.7792831849686168,-0.4847086748099067,-72.3569171410098,-222.13479259984663
53.0,39.210099043167396,-95.35219830878637,306.0,0.7718095456372722,-0.5477818210290312,-72.40158829145889,53.0,39.21010691816159,-95.35220303062529,296.40542237818363,0.7738642651511166,-0.5418171847063222,-72.3902336965733,-219.22508286929073
54.0,39.21108366389136,-95.34900570631686,306.0,0.5739285150894454,-0.5023823516517028,-72.36973108407095,54.0,39.21109120816116,-95.34900982778896,296.1420684605655,0.5759868521912053,-0.49636166460056863,-72.35836148417094,-215.7882195604268
55.0,39.21207016060282,-95.34581236497154,306.0,0.6331012300337698,-0.2716057301628059,-72.1232620542181,55.0,39.21207736833991,-95.34581587693032,295.87679225509544,0.6351823416961071,-0.26562772493927267,-72.11192349567837,-211.23564614099539
56.0,39.21305852847793,-95.34261826410899,306.0,0.2994381422368334,-0.4507774284401116,-72.00385820110463,56.0,39.21306540038232,-95.34262115476925,295.6102827102265,0.3015794814836332,-0.4448757254330902,-71.99252788116034,-206.89563879905177
57.0,39.214048762746906,-95.33942338254882,306.0,0.25428281378191614,-0.17017751459641067,-71.96637781912075,57.0,39.21405529874714,-95.33942564186769,295.343663003716,0.2564217409778056,-0.1642893817304889,-71.95497081899404,-202.88075605842764
58.0,39.21504085857784,-95.33622769856534,306.0,0.2968317417538614,-0.0742980540690651,-72.04621331822716,58.0,39.21504705597514,-95.33622931549674,295.07645461608195,0.2990170373564941,-0.06836001275833334,-72.03481317302172,-199.7402609578919
59.0,39.21603481097836,-95.3330311898344,306.0,0.14012433267441957,-0.3030557974185182,-72.12212229534498,59.0,39.216040664531846,-95.3330321530195,294.81061308860484,0.14231836636870102,-0.29713540842680447,-72.11071959772514,-197.07345585948738
60.0,39.21703061474357,-95.32983383338978,306.0,0.11559333463981555,-0.3795302653155378,-71.95035257617367,60.0,39.21703612515089,-95.32983412910873,294.5442295516433,0.11784228946074207,-0.3736321498746001,-71.93896877185632,-194.9142934300956
61.0,39.21802826440558,-95.32663560568781,306.0,-0.08803288728665684,-0.5433846033976348,-72.0046052107726,61.0,39.21803342565696,-95.32663522230264,294.27789743893624,-0.08582502204147041,-0.5374413226048653,-71.99325756900569,-193.83285176053954
62.0,39.219027754161345,-95.32343648275976,306.0,0.06515773010693646,-0.8326232107261495,-72.04701871910429,62.0,39.21903256913592,-95.32343540565253,294.01134419012124,0.06732958956836203,-0.8266204296067998,-72.03571472782778,-193.2485536204132
